type,sc,mean_gsi,N,SD,SE
Parson et al,30-39,1.48409894,NA,NA,NA
Parson et al,40-49,3.074204947,NA,NA,NA
Parson et al,50-59,4.134275618,NA,NA,NA
Parson et al,60-69,9.222614841,NA,NA,NA
Parson et al,70-79,12.82685512,NA,NA,NA
Parson et al,80-89,19.29328622,NA,NA,NA
Parson et al,90-99,21.9434629,NA,NA,NA
Parson et al,100-109,23.32155477,NA,NA,NA
Parson et al,110-119,24.48763251,NA,NA,NA
Parson et al,120-129,24.48763251,NA,NA,NA
Parson et al,130-139,24.16961131,NA,NA,NA
Parson et al,140-149,23.63957597,NA,NA,NA
Parson et al,150-159,25.75971731,NA,NA,NA
Parson et al,160-169,23.5335689,NA,NA,NA
AQ,100-109,22.03353191,47,6.651225653,0.970180973
AQ,60-69,13.54531169,155,5.365549303,0.430971291
AQ,70-79,16.69905865,341,6.587946776,0.35675732
AQ,80-89,20.19143256,215,7.007518293,0.477908781
AQ,90-99,22.55270526,95,6.169535773,0.632981015
wild,100-109,21.41775,64,5.560217219,0.695027152
wild,110-119,23.12625,60,5.9260341,0.765047713
wild,80-89,22.28257895,38,8.039378481,1.304159402
wild,90-99,22.154675,40,6.165554794,0.974859809
